Time [s], Analyzer Name, Decoded Protocol Result
6.456645000000000,I2C,Setup Write to [0x20] + NAK
6.456753000000000,I2C,0x00 + NAK
6.456861000000000,I2C,0x0A + NAK
6.457078000000000,I2C,Setup Write to [0x20] + NAK
6.457186000000000,I2C,0x01 + NAK
6.457310000000000,I2C,Setup Read to [0x21] + NAK
6.457418000000000,I2C,0xFF + NAK
6.462187500000000,I2C,Setup Write to [0xC8] + NAK
6.462402000000000,I2C,Setup Write to [0xC8] + NAK
6.462615500000000,I2C,Setup Write to [0xC8] + NAK
6.462828000000000,I2C,Setup Write to [0xC8] + NAK
6.463041500000000,I2C,Setup Write to [0xC8] + NAK
6.466649500000000,I2C,Setup Read to [0xC9] + NAK
6.466816000000000,I2C,Setup Read to [0xC9] + NAK
6.466983000000000,I2C,Setup Read to [0xC9] + NAK
6.467150000000000,I2C,Setup Read to [0xC9] + NAK
6.467316000000000,I2C,Setup Read to [0xC9] + NAK
6.471190500000000,I2C,Setup Write to [0xC6] + NAK
6.471405000000000,I2C,Setup Write to [0xC6] + NAK
6.471618000000000,I2C,Setup Write to [0xC6] + NAK
6.471831000000000,I2C,Setup Write to [0xC6] + NAK
6.472044500000000,I2C,Setup Write to [0xC6] + NAK
6.475646000000000,I2C,Setup Read to [0xC7] + NAK
6.475813000000000,I2C,Setup Read to [0xC7] + NAK
6.475979500000000,I2C,Setup Read to [0xC7] + NAK
6.476146000000000,I2C,Setup Read to [0xC7] + NAK
6.476313000000000,I2C,Setup Read to [0xC7] + NAK
6.480192500000000,I2C,Setup Write to [0x34] + ACK
6.480300500000000,I2C,0x00 + ACK
6.483651000000000,I2C,Setup Read to [0x35] + ACK
6.483759000000000,I2C,0x69 + NAK
6.540662500000000,I2C,Setup Write to [0x20] + NAK
6.540770500000000,I2C,0x00 + NAK
6.540878500000000,I2C,0x01 + NAK
6.541207500000000,I2C,Setup Write to [0x20] + NAK
6.541315500000000,I2C,0xB1 + NAK
6.541423500000000,I2C,0x1A + NAK
6.544663500000000,I2C,Setup Write to [0x20] + NAK
6.544771500000000,I2C,0x00 + NAK
6.544879500000000,I2C,0x0A + NAK
6.545097000000000,I2C,Setup Write to [0x20] + NAK
6.545205000000000,I2C,0x01 + NAK
6.545329000000000,I2C,Setup Read to [0x21] + NAK
6.545437000000000,I2C,0xFF + NAK
6.549660000000000,I2C,Setup Write to [0x20] + NAK
6.549768000000000,I2C,0x00 + NAK
6.549876000000000,I2C,0x00 + NAK
6.550205000000000,I2C,Setup Write to [0x20] + NAK
6.550313000000000,I2C,0x08 + NAK
6.550421000000000,I2C,0x4D + NAK
6.553666500000000,I2C,Setup Write to [0x20] + NAK
6.553774500000000,I2C,0x00 + NAK
6.553882500000000,I2C,0x0A + NAK
6.554096000000000,I2C,Setup Write to [0x20] + NAK
6.554204000000000,I2C,0x01 + NAK
6.554328000000000,I2C,Setup Read to [0x21] + NAK
6.554436000000000,I2C,0xFF + NAK
6.558663000000000,I2C,Setup Write to [0x20] + NAK
6.558771500000000,I2C,0x00 + NAK
6.558879500000000,I2C,0x01 + NAK
6.559205500000000,I2C,Setup Write to [0x20] + NAK
6.559313500000000,I2C,0x19 + NAK
6.559421500000000,I2C,0x38 + NAK
6.562666500000000,I2C,Setup Write to [0x20] + NAK
6.562774500000000,I2C,0x00 + NAK
6.562882500000000,I2C,0x0A + NAK
6.563096000000000,I2C,Setup Write to [0x20] + NAK
6.563204000000000,I2C,0x01 + NAK
6.563328000000000,I2C,Setup Read to [0x21] + NAK
6.563436000000000,I2C,0xFF + NAK
6.567664500000000,I2C,Setup Write to [0x20] + NAK
6.567772500000000,I2C,0x00 + NAK
6.567881000000000,I2C,0x01 + NAK
6.568211000000000,I2C,Setup Write to [0x20] + NAK
6.568319000000000,I2C,0x1A + NAK
6.568427000000000,I2C,0x11 + NAK
6.571667000000000,I2C,Setup Write to [0x20] + NAK
6.571775000000000,I2C,0x00 + NAK
6.571883000000000,I2C,0x0A + NAK
6.572096500000000,I2C,Setup Write to [0x20] + NAK
6.572204500000000,I2C,0x01 + NAK
6.572328500000000,I2C,Setup Read to [0x21] + NAK
6.572436500000000,I2C,0xFF + NAK
6.576666000000000,I2C,Setup Write to [0x20] + NAK
6.576774000000000,I2C,0x00 + NAK
6.576882000000000,I2C,0x01 + NAK
6.577211500000000,I2C,Setup Write to [0x20] + NAK
6.577319500000000,I2C,0x1B + NAK
6.577427500000000,I2C,0x12 + NAK
6.580670000000000,I2C,Setup Write to [0x20] + NAK
6.580778000000000,I2C,0x00 + NAK
6.580886000000000,I2C,0x0A + NAK
6.581099500000000,I2C,Setup Write to [0x20] + NAK
6.581207500000000,I2C,0x01 + NAK
6.581331500000000,I2C,Setup Read to [0x21] + NAK
6.581439500000000,I2C,0xFF + NAK
6.585668000000000,I2C,Setup Write to [0x20] + NAK
6.585776000000000,I2C,0x00 + NAK
6.585884000000000,I2C,0x01 + NAK
6.586213500000000,I2C,Setup Write to [0x20] + NAK
6.586321500000000,I2C,0x15 + NAK
6.586429500000000,I2C,0x01 + NAK
6.589672500000000,I2C,Setup Write to [0x20] + NAK
6.589780500000000,I2C,0x00 + NAK
6.589888500000000,I2C,0x0A + NAK
6.590102000000000,I2C,Setup Write to [0x20] + NAK
6.590210000000000,I2C,0x01 + NAK
6.590334000000000,I2C,Setup Read to [0x21] + NAK
6.590442000000000,I2C,0xFF + NAK
6.595213500000000,I2C,Setup Write to [0x34] + ACK
6.595321500000000,I2C,0x05 + ACK
6.595429500000000,I2C,0x83 + ACK
6.599221000000000,I2C,Setup Write to [0x34] + ACK
6.599329000000000,I2C,0x06 + ACK
6.599437000000000,I2C,0x32 + ACK
6.603223000000000,I2C,Setup Write to [0x34] + ACK
6.603331000000000,I2C,0x07 + ACK
6.603439000000000,I2C,0x75 + ACK
6.607224000000000,I2C,Setup Write to [0x34] + ACK
6.607332000000000,I2C,0x08 + ACK
6.607440000000000,I2C,0xC0 + ACK
6.611222000000000,I2C,Setup Write to [0x34] + ACK
6.611330000000000,I2C,0x09 + ACK
6.611438000000000,I2C,0x40 + ACK
6.615222500000000,I2C,Setup Write to [0x34] + ACK
6.615330500000000,I2C,0x0A + ACK
6.615438500000000,I2C,0xD6 + ACK
6.619224500000000,I2C,Setup Write to [0x34] + ACK
6.619332500000000,I2C,0x0B + ACK
6.619440500000000,I2C,0x6C + ACK
6.623223500000000,I2C,Setup Write to [0x34] + ACK
6.623331500000000,I2C,0x0C + ACK
6.623439500000000,I2C,0xF5 + ACK
6.627226000000000,I2C,Setup Write to [0x34] + ACK
6.627334000000000,I2C,0x0D + ACK
6.627442000000000,I2C,0x63 + ACK
6.631228500000000,I2C,Setup Write to [0x34] + ACK
6.631336500000000,I2C,0x0E + ACK
6.631444500000000,I2C,0x75 + ACK
6.635227000000000,I2C,Setup Write to [0x34] + ACK
6.635335000000000,I2C,0x0F + ACK
6.635443000000000,I2C,0x68 + ACK
6.639225000000000,I2C,Setup Write to [0x34] + ACK
6.639333000000000,I2C,0x10 + ACK
6.639441000000000,I2C,0x6C + ACK
6.643231000000000,I2C,Setup Write to [0x34] + ACK
6.643339000000000,I2C,0x11 + ACK
6.643447000000000,I2C,0x83 + ACK
6.647229500000000,I2C,Setup Write to [0x34] + ACK
6.647337500000000,I2C,0x12 + ACK
6.647445500000000,I2C,0x80 + ACK
6.651229000000000,I2C,Setup Write to [0x34] + ACK
6.651337000000000,I2C,0x13 + ACK
6.651445000000000,I2C,0x00 + ACK
6.655230500000000,I2C,Setup Write to [0x34] + ACK
6.655338500000000,I2C,0x14 + ACK
6.655446500000000,I2C,0x0F + ACK
6.659233500000000,I2C,Setup Write to [0x34] + ACK
6.659341500000000,I2C,0x15 + ACK
6.659449500000000,I2C,0x00 + ACK
6.663233000000000,I2C,Setup Write to [0x34] + ACK
6.663341000000000,I2C,0x16 + ACK
6.663449000000000,I2C,0xC0 + ACK
6.667233500000000,I2C,Setup Write to [0x34] + ACK
6.667341500000000,I2C,0x17 + ACK
6.667449500000000,I2C,0x30 + ACK
6.671228000000000,I2C,Setup Write to [0x34] + ACK
6.671336000000000,I2C,0x18 + ACK
6.671444000000000,I2C,0x48 + ACK
6.675234500000000,I2C,Setup Write to [0x34] + ACK
6.675342500000000,I2C,0x19 + ACK
6.675450500000000,I2C,0xCC + ACK
6.679236000000000,I2C,Setup Write to [0x34] + ACK
6.679344000000000,I2C,0x1A + ACK
6.679452000000000,I2C,0x60 + ACK
6.683235500000000,I2C,Setup Write to [0x34] + ACK
6.683343500000000,I2C,0x1B + ACK
6.683451500000000,I2C,0x00 + ACK
6.687236500000000,I2C,Setup Write to [0x34] + ACK
6.687344500000000,I2C,0x1C + ACK
6.687452500000000,I2C,0x54 + ACK
6.691237000000000,I2C,Setup Write to [0x34] + ACK
6.691345000000000,I2C,0x1D + ACK
6.691453000000000,I2C,0xAE + ACK
6.695231500000000,I2C,Setup Write to [0x34] + ACK
6.695339500000000,I2C,0x1E + ACK
6.695447500000000,I2C,0x4A + ACK
6.699241500000000,I2C,Setup Write to [0x34] + ACK
6.699349500000000,I2C,0x1F + ACK
6.699457500000000,I2C,0xC0 + ACK
6.703233500000000,I2C,Setup Write to [0x34] + ACK
